"Index","Date","Open","High","Low","Close","Volume"
2016-03-09 16:29:00,"20160309 162900","71944.0000000","71947.0000000","71902.0000000","71921.0000000","3673"
2016-03-09 16:44:00,"20160309 164400","71999.0000000","72039.0000000","71988.0000000","72036.0000000","8542"
2016-03-09 16:59:00,"20160309 165900","71989.0000000","71991.0000000","71965.0000000","71968.0000000","4384"
2016-03-09 17:14:00,"20160309 171400","71770.0000000","71788.0000000","71761.0000000","71781.0000000","1872"
2016-03-09 17:29:00,"20160309 172900","71675.0000000","71689.0000000","71629.0000000","71665.0000000","11604"
2016-03-09 17:44:00,"20160309 174400","71602.0000000","71658.0000000","71591.0000000","71644.0000000","4040"
2016-03-09 17:59:00,"20160309 175900","71349.0000000","71352.0000000","71302.0000000","71304.0000000","4399"
2016-03-09 18:14:00,"20160309 181400","71293.0000000","71336.0000000","71274.0000000","71325.0000000","4515"
2016-03-09 18:29:00,"20160309 182900","71235.0000000","71276.0000000","71201.0000000","71216.0000000","6890"
2016-03-09 18:44:00,"20160309 184400","71130.0000000","71160.0000000","71079.0000000","71091.0000000","5651"
2016-03-09 18:45:00,"20160309 184500","71091.0000000","71102.0000000","71033.0000000","71074.0000000","10375"
2016-03-09 19:14:00,"20160309 191400","71331.0000000","71338.0000000","71314.0000000","71331.0000000","1705"
2016-03-09 19:29:00,"20160309 192900","71324.0000000","71343.0000000","71287.0000000","71299.0000000","6603"
2016-03-09 19:44:00,"20160309 194400","71320.0000000","71329.0000000","71302.0000000","71313.0000000","1624"
2016-03-09 19:59:00,"20160309 195900","71301.0000000","71320.0000000","71280.0000000","71301.0000000","1237"
2016-03-09 20:14:00,"20160309 201400","71217.0000000","71232.0000000","71202.0000000","71232.0000000","1054"
2016-03-09 20:29:00,"20160309 202900","71280.0000000","71281.0000000","71268.0000000","71276.0000000","364"
2016-03-09 20:44:00,"20160309 204400","71229.0000000","71232.0000000","71216.0000000","71229.0000000","399"
2016-03-09 20:59:00,"20160309 205900","71274.0000000","71301.0000000","71274.0000000","71286.0000000","487"
2016-03-09 21:14:00,"20160309 211400","71254.0000000","71258.0000000","71235.0000000","71246.0000000","2894"
2016-03-09 21:29:00,"20160309 212900","71320.0000000","71339.0000000","71315.0000000","71326.0000000","1561"
2016-03-09 21:44:00,"20160309 214400","71286.0000000","71300.0000000","71286.0000000","71292.0000000","530"
2016-03-09 21:59:00,"20160309 215900","71196.0000000","71216.0000000","71193.0000000","71209.0000000","1126"
2016-03-09 22:14:00,"20160309 221400","71208.0000000","71246.0000000","71203.0000000","71246.0000000","1395"
2016-03-09 22:29:00,"20160309 222900","71188.0000000","71188.0000000","71088.0000000","71100.0000000","12677"
2016-03-09 22:44:00,"20160309 224400","71149.0000000","71170.0000000","71149.0000000","71166.0000000","853"
2016-03-09 22:59:00,"20160309 225900","71171.0000000","71175.0000000","71162.0000000","71164.0000000","162"
2016-03-09 23:14:00,"20160309 231400","71192.0000000","71196.0000000","71182.0000000","71194.0000000","93"
2016-03-09 23:29:00,"20160309 232900","71187.0000000","71198.0000000","71182.0000000","71183.0000000","568"
2016-03-09 23:44:00,"20160309 234400","71187.0000000","71193.0000000","71172.0000000","71172.0000000","1154"
2016-03-09 23:50:00,"20160309 235000","71200.0000000","71238.0000000","71184.0000000","71222.0000000","2131"
