"Index","sma","pos","pos.num","pos.bars","pos.add","pos.drop","pos.add.num","pos.drop.num","action","state","SPFB.SI.Open","SPFB.SI.pos","SPFB.SI.ret","SPFB.SI.cret","cret","balance","im.balance","n","diff.n","margin","commiss","equity","perfReturn","SPFB.SI.n","SPFB.SI.diff.n","SPFB.SI.commiss","SPFB.SI.margin","SPFB.SI.perfReturn","SPFB.SI.equity","SPFB.SI.balance"
2016-02-03 22:00:00,79682,-1,6,11,1,0,1,0,0,-1,78488,-1,826,826,826,950286,42128,8,4,3304,40,-7586,3264,8,4,40,3304,3264,-7586,992414
2016-02-04 10:30:00,79505,-1,6,21,1,0,2,0,0,-1,77226,-1,1262,1262,1262,918174,84256,16,8,10096,80,2430,10016,16,8,80,10096,10016,2430,1002430
2016-02-04 13:00:00,79239,-1,6,31,1,0,3,0,0,-1,77057,-1,169,169,169,836462,168512,32,16,2704,160,4974,2544,32,16,160,2704,2544,4974,1004974
2016-02-04 15:30:00,78960,-1,6,41,1,0,4,0,0,-1,77375,-1,-318,-318,-318,657454,337024,64,32,-10176,320,-5522,-10496,64,32,320,-10176,-10496,-5522,994478
2016-02-04 18:00:00,78681,-1,6,51,1,0,5,0,0,-1,76531,-1,844,844,844,373806,674048,128,64,54016,640,47854,53376,128,64,640,54016,53376,47854,1047854
2016-02-04 20:45:00,78367,-1,6,61,1,0,6,0,0,-1,77074,-1,-543,-543,-543,-371026,1348096,256,128,-69504,1280,-22930,-70784,256,128,1280,-69504,-70784,-22930,977070
2016-02-04 23:15:00,78110,-1,6,71,1,0,7,0,0,-1,77648,-1,-574,-574,-574,-1868626,2696192,512,256,-146944,2560,-172434,-149504,512,256,2560,-146944,-149504,-172434,827566
2016-02-05 10:15:00,78047,-1,6,75,0,1,7,1,0,-1,77904,-1,-256,-256,-256,-654162,1348096,256,-256,-131072,2560,-306066,-133632,256,-256,2560,-131072,-133632,-306066,693934
2016-02-05 10:30:00,78031,-1,6,76,0,1,7,2,0,-1,77893,-1,11,11,11,21422,674048,128,-128,2816,1280,-304530,1536,128,-128,1280,2816,1536,-304530,695470
2016-02-05 10:45:00,78017,0,6,76,0,0,0,0,1,1,78132,0,-239,-239,-239,663598,0,0,-128,-30592,1280,-336402,-31872,0,-128,1280,-30592,-31872,-336402,663598
2016-02-05 10:45:00,78017,1,7,0,0,0,0,0,1,1,78132,1,0,0,0,642494,21064,4,4,0,40,-336442,-40,4,4,40,0,-40,-336442,663558
2016-02-05 11:00:00,78003,0,7,0,0,0,0,0,1,-1,78013,0,-119,-119,-119,663042,0,0,-4,-476,40,-336958,-516,0,-4,40,-476,-516,-336958,663042
2016-02-05 11:00:00,78003,-1,8,0,0,0,0,0,1,-1,78013,-1,0,0,0,641938,21064,4,4,0,40,-336998,-40,4,4,40,0,-40,-336998,663002
2016-02-05 11:15:00,77990,0,8,0,0,0,0,0,1,1,78106,0,-93,-93,-93,662590,0,0,-4,-372,40,-337410,-412,0,-4,40,-372,-412,-337410,662590
2016-02-05 11:15:00,77990,1,9,0,0,0,0,0,1,1,78106,1,0,0,0,641486,21064,4,4,0,40,-337450,-40,4,4,40,0,-40,-337450,662550
2016-02-05 12:15:00,77945,0,9,3,0,0,0,0,1,-1,77778,0,-328,-328,-328,661198,0,0,-4,-1312,40,-338802,-1352,0,-4,40,-1312,-1352,-338802,661198
2016-02-05 12:15:00,77945,-1,10,0,0,0,0,0,1,-1,77778,-1,0,0,0,640094,21064,4,4,0,40,-338842,-40,4,4,40,0,-40,-338842,661158
2016-02-05 14:15:00,77812,-1,10,8,0,1,0,1,0,-1,77764,-1,14,14,14,650662,10532,2,-2,56,20,-338806,36,2,-2,20,56,36,-338806,661194
2016-02-05 14:30:00,77798,-1,10,9,0,1,0,2,0,-1,77594,-1,170,170,170,656258,5266,1,-1,340,10,-338476,330,1,-1,10,340,330,-338476,661524
