"","StartDate","EndDate","Period","NumTradeDays","NumBars","NumBarsTrade","NumBarsNoTrade","SharpRatio","SortinoRatio","CalmarRatio","SterlingRatio","RecoveryFactor","WinRatio","MaxDrawdownDay","MaxDrawdown","MaxDrawdownPercent","MeanDrawdown","MeanDrawdownPercent","MaxDrawdownDays","MeanDrawdownDays","NowDrawdownDays","NowDrawdownPeriods","NowDrawdown","NowDrawdownPercent","Return","ReturnPercent","ReturnAnnual","ReturnMonthly","ReturnBar","ReturnBarTrade","BestDay","BestDayReturn","BestDayReturnPercent","MeanGoodDayReturn","MeanGoodDayReturnPercent","NumGoogDay","NumGoogDayPercent","MaxGoodDays","FullGoodDayReturn","WorstDay","WorstDayReturn","WorstDayReturnPercent","MeanBadDayReturn","MeanBadDayReturnPercent","NumBadDay","NumBadDayPercent","MaxBadDays","FullBadDayReturn","ProfitFactorDaily","DealsNum","NumGoogDeals","NumBadDeals","MaxGoodDeals","MaxBadDeals","FullGoodDealReturn","FullBadDealReturn","MeanGoodDealReturn","MeanGoodDealReturnPercent","MeanBadDealReturn","MeanBadDealReturnPercent","MeanDealBars","MeanGoodDealBars","MeanBadDealBars","MeanDealReturn","MeanDealReturnPercent","ProfitFactorDeals","sma.per_","add.per_","k.mm_"
"1",2016-02-01 10:15:00,2016-02-26 23:45:00,"15 mins",20,1099,196,903,-0.0552446837589374,-0.0773220932740617,-0.00780431414515717,-0.00780405487423111,-0.88264914419907,1.22356602238155,2016-02-26 16:30:00,-44286,-4.41170757170793,-7144,-0.712155314478167,16,6,16,921,-42918,-4.27542938090053,-39089,-3.9089,-488612.5,-39089,-35.5677888989991,-199.433673469388,2016-02-22,12085,1.22728980694432,3427.33333333333,0.347257586133634,15,75,7,51410,2016-02-16,-8516,-0.864043961128168,-2623.4,-0.265387581790297,5,25,2,-13117,3.91934131280018,569,220,349,5,16,131831,-170920,599.231818181818,0.0619534168586823,-489.74212034384,-0.0506852628242207,0,1,1,-68.6977152899824,-68.6977152899824,0.771302363678914,2,10,0.02
"2",2016-02-01 10:30:00,2016-02-26 23:45:00,"15 mins",20,1098,271,827,-0.0420879854550868,-0.059672185087484,-0.146893999164617,-0.146767475478859,-0.801525751005033,1.1652360783729,2016-02-26 14:30:00,-31591,-3.14280455836488,-4199.08333333333,-0.418140852066351,15,3,15,860,-30506,-3.03486422897278,-25321,-2.5321,-316512.5,-25321,-23.0610200364299,-93.4354243542435,2016-02-18,8955,0.89867050955772,2883.66666666667,0.290663151233329,12,60,4,34604,2016-02-15,-2813,-0.283888495300147,-1339.75,-0.134717078640107,8,40,2,-10718,3.22858742302668,394,161,233,5,12,104639,-129960,649.931677018634,0.066919370545804,-557.768240343348,-0.0574336988295349,1,2,1,-64.2664974619289,-64.2664974619289,0.805163127116036,3,10,0.02
"3",2016-02-01 10:45:00,2016-02-26 23:45:00,"15 mins",20,1097,280,817,-0.0402194528136506,-0.0558027794416819,-0.00331556455492287,-0.00331549871896736,-0.681713628522139,1.21007705347819,2016-02-24 16:15:00,-34780,-3.45730113808628,-4313.92307692308,-0.429414179419679,15,3,15,853,-29697,-2.95202621902669,-23710,-2.371,-296375,-23710,-21.6134913400182,-84.6785714285714,2016-02-10,9468,0.951406711296096,5334.375,0.537619212021647,8,40,3,42675,2016-02-15,-3203,-0.32551673113314,-1703.91666666667,-0.172236213263731,12,60,4,-20447,2.08710324252947,325,129,196,6,20,92760,-116470,719.06976744186,0.0742549232292688,-594.234693877551,-0.0613153395460086,1,3,1,-72.9538461538462,-72.9538461538462,0.796428264789216,4,10,0.02
"4",2016-02-01 11:00:00,2016-02-26 23:45:00,"15 mins",20,1096,294,802,-0.0209307062672046,-0.0300668649745422,-0.0115827850032643,-0.0115813227150427,-0.420198256935666,1.4185197929736,2016-02-25 19:45:00,-30062,-2.9686876626942,-2979.73684210526,-0.294865839378825,13,3,13,768,-25268,-2.49526977117148,-12632,-1.2632,-157900,-12632,-11.5255474452555,-42.9659863945578,2016-02-10,10337,1.02643387460169,3625.8,0.362003649663676,10,50,4,36258,2016-02-15,-4929,-0.496117820181698,-2480.3,-0.248344103857985,10,50,4,-24803,1.46183929363383,285,109,176,5,18,91348,-103980,838.05504587156,0.0857943820193117,-590.795454545455,-0.0604385073241372,2,4,1,-44.3228070175439,-44.3228070175439,0.878515099057511,5,10,0.02
"5",2016-02-01 11:15:00,2016-02-26 23:45:00,"15 mins",20,1095,309,786,-0.0279245773563075,-0.040337255332522,-0.044723199933843,-0.0447075679170887,-0.51695193715088,1.52994521059262,2016-02-25 21:30:00,-33477,-3.31469557614829,-3130.27777777778,-0.310702597034056,13,3,13,745,-27263,-2.69942185657409,-17306,-1.7306,-216325,-17306,-15.8045662100457,-56.0064724919094,2016-02-18,10460,1.05473000021175,3798.63636363636,0.381498034252517,11,55,3,41785,2016-02-08,-7145,-0.713057484708435,-2884.66666666667,-0.291141396090536,9,45,3,-25962,1.60946768353748,263,92,171,7,17,80539,-97845,875.423913043478,0.0901766895625498,-572.19298245614,-0.0588742560198567,2,5,1,-65.8022813688213,-65.8022813688213,0.823128417394859,6,10,0.02
"6",2016-02-01 11:30:00,2016-02-26 23:45:00,"15 mins",20,1094,315,779,-0.0149678068817815,-0.0226022433660557,-0.078685678206882,-0.0785942894981632,-0.341490333384077,1.72283832373381,2016-02-26 14:30:00,-26276,-2.59689688809209,-2207.73684210526,-0.218688433420879,14,4,14,775,-20796,-2.05530018590208,-8973,-0.8973,-112162.5,-8973,-8.20201096892139,-28.4857142857143,2016-02-18,8849,0.884581550641769,3103.72727272727,0.309749381054365,11,55,2,34141,2016-02-08,-8060,-0.803063998023227,-2788.55555555556,-0.279584649713151,9,45,2,-25097,1.36036179623063,237,81,156,6,14,76120,-85093,939.753086419753,0.0963064865748355,-545.467948717949,-0.0558322328504441,3,6,1,-37.8607594936709,-37.8607594936709,0.894550668092558,7,10,0.02
"7",2016-02-01 11:45:00,2016-02-26 23:45:00,"15 mins",20,1093,326,767,-0.00536165918597381,-0.00838935665302757,-0.0216027138525772,-0.0215853063474582,-0.198822049405306,1.90888842303862,2016-02-12 18:15:00,-17488,-1.73551463546551,-3468.66666666667,-0.344529531568398,18,9,18,1030,-11132,-1.10474319087386,-3477,-0.3477,-43462.5,-3477,-3.1811527904849,-10.6656441717791,2016-02-18,7573,0.756316032841273,2434.41666666667,0.243255376112082,12,60,4,29213,2016-02-02,-4893,-0.489450261230198,-3123.25,-0.313432746599941,8,40,2,-24986,1.1691747378532,207,69,138,3,11,72847,-76324,1055.75362318841,0.1081861815653,-553.072463768116,-0.0565733682765855,3,8,1,-16.7971014492754,-16.7971014492754,0.954444211519312,8,10,0.02
"8",2016-02-01 12:00:00,2016-02-26 23:45:00,"15 mins",20,1092,347,745,-0.0167253331924302,-0.0241647020663325,-0.215263770364624,-0.214726952982168,-0.374991553483343,1.87982410531813,2016-02-26 14:30:00,-29598,-2.91943299991024,-4252.375,-0.420008455949443,18,9,18,1030,-24926,-2.4586048704562,-11099,-1.1099,-138737.5,-11099,-10.1639194139194,-31.985590778098,2016-02-18,9291,0.928510395898604,3189.27272727273,0.318800718157509,11,55,4,35082,2016-02-02,-8637,-0.863321002080087,-2617.44444444444,-0.262636044655971,9,45,3,-23557,1.48923886742794,200,63,137,4,12,70779,-81878,1123.47619047619,0.115157429471856,-597.649635036496,-0.0611634760642731,3,9,1,-55.495,-55.495,0.864444661569652,9,10,0.02
"9",2016-02-01 12:15:00,2016-02-26 23:45:00,"15 mins",20,1091,444,647,-0.022998432912268,-0.0341779330144233,-0.0208006996980823,-0.0207973880120931,-0.493016718882675,1.74314069486955,2016-02-25 20:45:00,-34153,-3.37131446023728,-5043.5,-0.498695801407989,18,9,18,1030,-29885,-2.95001120382371,-16838,-1.6838,-210475,-16838,-15.4335472043996,-37.9234234234234,2016-02-18,10602,1.06105733432614,3200.5,0.320934700398338,12,60,3,38406,2016-02-02,-6166,-0.616810332323322,-2576.25,-0.259113926462695,8,40,3,-20610,1.86346433770015,202,64,138,4,12,71049,-87887,1110.140625,0.11416794943496,-636.86231884058,-0.0653968834372005,4,9,1,-83.3564356435644,-83.3564356435644,0.80841307588153,10,10,0.02
"10",2016-02-01 12:30:00,2016-02-26 23:45:00,"15 mins",20,1090,353,737,-0.0152552160621937,-0.0225356594559162,-0.0171333714803424,-0.0171301271380814,-0.383164489469475,1.81597686904497,2016-02-25 20:45:00,-30008,-2.96239550467736,-4988.85714285714,-0.493254960280802,18,9,18,1030,-24462,-2.41489332296113,-11498,-1.1498,-143725,-11498,-10.548623853211,-32.5722379603399,2016-02-18,9608,0.959743322601815,2721.42857142857,0.272295658729545,14,70,4,38100,2016-02-02,-8246,-0.824949778706171,-4058.16666666667,-0.40802139577966,6,30,2,-24349,1.56474598546142,184,59,125,4,12,68987,-80485,1169.27118644068,0.120060990915301,-643.88,-0.0659881556230492,4,9,1,-62.4891304347826,-62.4891304347826,0.857141082189228,11,10,0.02
