"Index","SPFB.SI.Open","SPFB.SI.High","SPFB.SI.Low","SPFB.SI.Close","SPFB.SI.Volume"
2015-09-02 16:15:00,67099,67103,66784,66825,272905
2015-09-02 16:30:00,66833,67300,66817,67206,285855
2015-09-02 16:45:00,67208,67323,66884,67248,197449
2015-09-02 17:00:00,67248,67338,67108,67277,186214
2015-09-02 17:15:00,67275,67712,67208,67614,200120
2015-09-02 17:30:00,67614,68334,67603,67852,553616
2015-09-02 17:45:00,67850,68175,67806,68032,290832
2015-09-02 18:00:00,68032,68077,67675,67743,173713
2015-09-02 18:15:00,67738,67911,67724,67885,118168
2015-09-02 18:30:00,67890,67915,67711,67813,141004
2015-09-02 19:00:00,67830,68218,67830,68012,102634
2015-09-02 19:15:00,68009,68172,67812,67955,83561
2015-09-02 19:30:00,67952,67996,67413,67478,118314
2015-09-02 19:45:00,67481,67642,67251,67317,128551
2015-09-02 20:00:00,67317,67501,67254,67406,75539
2015-09-02 20:15:00,67402,67420,67222,67249,82294
2015-09-02 20:30:00,67247,67555,67240,67365,76902
2015-09-02 20:45:00,67363,67387,67252,67361,46487
2015-09-02 21:00:00,67363,67486,67264,67315,53883
2015-09-02 21:15:00,67311,67330,67057,67085,108544
2015-09-02 21:30:00,67082,67220,66987,67198,72910
2015-09-02 21:45:00,67195,67392,67183,67203,53831
2015-09-02 22:00:00,67203,67347,67145,67287,30267
2015-09-02 22:15:00,67291,67368,67265,67343,19826
2015-09-02 22:30:00,67343,67350,67123,67182,30670
2015-09-02 22:45:00,67191,67192,67132,67157,20214
2015-09-02 23:00:00,67156,67167,66891,66950,57793
2015-09-02 23:15:00,66950,67084,66885,67067,32851
2015-09-02 23:30:00,67065,67328,67060,67205,44404
2015-09-02 23:45:00,67210,67290,67209,67272,11210
2015-09-03 10:00:00,67209,67536,66969,67155,278049
2015-09-03 10:15:00,67154,67320,67052,67054,151545
2015-09-03 10:30:00,67052,67316,66992,67287,148088
2015-09-03 10:45:00,67290,67340,67107,67146,106363
2015-09-03 11:00:00,67146,67337,67134,67273,130126
2015-09-03 11:15:00,67273,67437,67212,67354,172482
2015-09-03 11:30:00,67353,67360,67234,67307,93690
2015-09-03 11:45:00,67306,67396,67224,67236,65045
2015-09-03 12:00:00,67236,67286,67075,67219,170134
2015-09-03 12:15:00,67221,67275,67132,67238,65537
2015-09-03 12:30:00,67240,67323,67205,67231,57911
2015-09-03 12:45:00,67231,67378,67194,67324,63966
2015-09-03 13:00:00,67324,67468,67268,67459,73128
2015-09-03 13:15:00,67459,67490,67292,67299,85409
2015-09-03 13:30:00,67305,67455,67291,67291,77082
2015-09-03 13:45:00,67292,67465,67200,67460,98077
2015-09-03 14:00:00,67451,67489,67387,67437,47216
2015-09-03 14:15:00,67434,67475,67415,67464,54278
2015-09-03 14:30:00,67463,67597,67442,67521,126178
2015-09-03 14:45:00,67523,67588,67436,67481,74660
2015-09-03 15:00:00,67484,67526,67407,67484,86196
2015-09-03 15:15:00,67480,67510,67432,67444,52745
2015-09-03 15:30:00,67449,67643,67401,67539,219521
2015-09-03 15:45:00,67535,67675,67531,67615,139532
2015-09-03 16:00:00,67616,67815,67543,67638,243820
2015-09-03 16:15:00,67634,67917,67578,67758,183504
