"Index","SPFB.RTS.Open","SPFB.RTS.High","SPFB.RTS.Low","SPFB.RTS.Close","SPFB.RTS.Volume"
2015-09-02 16:30:00,80860,80890,80050,80110,34916
2015-09-02 16:45:00,80100,80670,79880,80060,35165
2015-09-02 17:00:00,80060,80400,79970,80160,30618
2015-09-02 17:15:00,80150,80200,79660,79820,28467
2015-09-02 17:30:00,79820,79840,78700,79030,94518
2015-09-02 17:45:00,79050,79060,78220,78250,67837
2015-09-02 18:00:00,78250,79120,78190,78860,47206
2015-09-02 18:15:00,78880,78930,78460,78470,27410
2015-09-02 18:30:00,78460,78910,78340,78470,21254
2015-09-02 19:00:00,78400,78500,77760,78120,21122
2015-09-02 19:15:00,78100,78470,77810,78110,17840
2015-09-02 19:30:00,78110,79050,78080,78910,26920
2015-09-02 19:45:00,78900,79480,78670,79380,25654
2015-09-02 20:00:00,79360,79420,78930,79030,13192
2015-09-02 20:15:00,79050,79700,78980,79680,17175
2015-09-02 20:30:00,79690,79700,79150,79380,11749
2015-09-02 20:45:00,79380,79530,79120,79170,9160
2015-09-02 21:00:00,79150,79510,79090,79370,11865
2015-09-02 21:15:00,79380,79940,79330,79850,16490
2015-09-02 21:30:00,79850,79900,79470,79510,10298
2015-09-02 21:45:00,79520,79520,79120,79500,8493
2015-09-02 22:00:00,79500,79550,79300,79370,5461
2015-09-02 22:15:00,79360,79490,79270,79410,4217
2015-09-02 22:30:00,79400,79790,79340,79680,6963
2015-09-02 22:45:00,79680,80090,79630,80030,8716
2015-09-02 23:00:00,80050,80360,79900,80180,10910
2015-09-02 23:15:00,80200,80360,80130,80140,4519
2015-09-02 23:30:00,80150,80180,79870,79950,4877
2015-09-02 23:45:00,79960,79990,79850,79900,2452
2015-09-03 10:00:00,79990,80290,79410,79660,38245
2015-09-03 10:15:00,79660,79880,79430,79820,28151
2015-09-03 10:30:00,79820,79950,79500,79550,18524
2015-09-03 10:45:00,79560,80040,79530,79960,18636
2015-09-03 11:00:00,79940,79960,79550,79690,21354
2015-09-03 11:15:00,79680,79770,79230,79230,33672
2015-09-03 11:30:00,79230,79590,79210,79460,17253
2015-09-03 11:45:00,79460,79660,79330,79640,11952
2015-09-03 12:00:00,79640,79950,79510,79730,23187
2015-09-03 12:15:00,79720,79820,79480,79570,15135
2015-09-03 12:30:00,79570,79630,79170,79440,19279
2015-09-03 12:45:00,79430,79520,79160,79350,11789
2015-09-03 13:00:00,79330,79460,79200,79200,7819
2015-09-03 13:15:00,79200,79500,79040,79480,15744
2015-09-03 13:30:00,79460,79480,79170,79440,10934
2015-09-03 13:45:00,79440,79570,79290,79360,9801
2015-09-03 14:00:00,79360,79450,79230,79340,6058
