<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,1,20160309,103800,72519.0000000,72553.0000000,72504.0000000,72549.0000000,6996
SPFB.Si,1,20160309,103900,72549.0000000,72584.0000000,72505.0000000,72561.0000000,11017
SPFB.Si,1,20160309,104000,72562.0000000,72580.0000000,72511.0000000,72513.0000000,6106
SPFB.Si,1,20160309,104100,72513.0000000,72556.0000000,72511.0000000,72549.0000000,5715
SPFB.Si,1,20160309,104200,72551.0000000,72565.0000000,72517.0000000,72520.0000000,5721
SPFB.Si,1,20160309,104300,72520.0000000,72533.0000000,72511.0000000,72519.0000000,2557
SPFB.Si,1,20160309,104400,72523.0000000,72523.0000000,72503.0000000,72506.0000000,1014
SPFB.Si,1,20160309,104500,72506.0000000,72528.0000000,72475.0000000,72477.0000000,5612
SPFB.Si,1,20160309,104600,72476.0000000,72486.0000000,72444.0000000,72454.0000000,4859
SPFB.Si,1,20160309,104700,72456.0000000,72498.0000000,72448.0000000,72488.0000000,8729
SPFB.Si,1,20160309,104800,72487.0000000,72522.0000000,72463.0000000,72517.0000000,7120
SPFB.Si,1,20160309,104900,72518.0000000,72530.0000000,72504.0000000,72504.0000000,1908
SPFB.Si,1,20160309,105000,72508.0000000,72513.0000000,72491.0000000,72506.0000000,2102
SPFB.Si,1,20160309,105100,72506.0000000,72535.0000000,72496.0000000,72525.0000000,2386
SPFB.Si,1,20160309,105200,72528.0000000,72536.0000000,72513.0000000,72513.0000000,1844
SPFB.Si,1,20160309,105300,72514.0000000,72539.0000000,72511.0000000,72531.0000000,1647
SPFB.Si,1,20160309,105400,72531.0000000,72565.0000000,72525.0000000,72558.0000000,5706
SPFB.Si,1,20160309,105500,72555.0000000,72567.0000000,72543.0000000,72557.0000000,3302
SPFB.Si,1,20160309,105600,72558.0000000,72572.0000000,72535.0000000,72536.0000000,3438
SPFB.Si,1,20160309,105700,72535.0000000,72544.0000000,72502.0000000,72510.0000000,3199
SPFB.Si,1,20160309,105800,72510.0000000,72526.0000000,72474.0000000,72488.0000000,3384
SPFB.Si,1,20160309,105900,72488.0000000,72492.0000000,72467.0000000,72484.0000000,3213
SPFB.Si,1,20160309,110000,72489.0000000,72524.0000000,72488.0000000,72520.0000000,3910
SPFB.Si,1,20160309,110100,72520.0000000,72580.0000000,72482.0000000,72532.0000000,17477
SPFB.Si,1,20160309,110200,72535.0000000,72600.0000000,72532.0000000,72595.0000000,18737
SPFB.Si,1,20160309,110300,72593.0000000,72645.0000000,72574.0000000,72641.0000000,23121
SPFB.Si,1,20160309,110400,72641.0000000,72677.0000000,72616.0000000,72644.0000000,19123
SPFB.Si,1,20160309,110500,72645.0000000,72650.0000000,72610.0000000,72628.0000000,6357
SPFB.Si,1,20160309,110600,72633.0000000,72690.0000000,72620.0000000,72675.0000000,9365
SPFB.Si,1,20160309,110700,72679.0000000,72689.0000000,72649.0000000,72656.0000000,5544
SPFB.Si,1,20160309,110800,72656.0000000,72698.0000000,72651.0000000,72654.0000000,8073
SPFB.Si,1,20160309,110900,72657.0000000,72698.0000000,72653.0000000,72669.0000000,2881
SPFB.Si,1,20160309,111000,72666.0000000,72669.0000000,72623.0000000,72647.0000000,5866
SPFB.Si,1,20160309,111100,72647.0000000,72674.0000000,72647.0000000,72674.0000000,5507
SPFB.Si,1,20160309,111200,72674.0000000,72688.0000000,72645.0000000,72660.0000000,5523
SPFB.Si,1,20160309,111300,72660.0000000,72670.0000000,72623.0000000,72637.0000000,2870
SPFB.Si,1,20160309,111400,72634.0000000,72648.0000000,72612.0000000,72628.0000000,7131
SPFB.Si,1,20160309,111500,72632.0000000,72634.0000000,72502.0000000,72563.0000000,20819
SPFB.Si,1,20160309,111600,72561.0000000,72625.0000000,72547.0000000,72590.0000000,8058
SPFB.Si,1,20160309,111700,72590.0000000,72598.0000000,72559.0000000,72575.0000000,3802
SPFB.Si,1,20160309,111800,72575.0000000,72598.0000000,72538.0000000,72544.0000000,3717
SPFB.Si,1,20160309,111900,72544.0000000,72579.0000000,72540.0000000,72575.0000000,2727
SPFB.Si,1,20160309,112000,72575.0000000,72579.0000000,72518.0000000,72529.0000000,3883
SPFB.Si,1,20160309,112100,72531.0000000,72542.0000000,72510.0000000,72510.0000000,4581
SPFB.Si,1,20160309,112200,72511.0000000,72529.0000000,72505.0000000,72514.0000000,1220
SPFB.Si,1,20160309,112300,72514.0000000,72518.0000000,72470.0000000,72506.0000000,11214
SPFB.Si,1,20160309,112400,72506.0000000,72510.0000000,72474.0000000,72490.0000000,5599
SPFB.Si,1,20160309,112500,72488.0000000,72523.0000000,72487.0000000,72515.0000000,5901
SPFB.Si,1,20160309,112600,72513.0000000,72520.0000000,72474.0000000,72503.0000000,3108
SPFB.Si,1,20160309,112700,72500.0000000,72523.0000000,72479.0000000,72520.0000000,4565
SPFB.Si,1,20160309,112800,72518.0000000,72546.0000000,72482.0000000,72524.0000000,5901
SPFB.Si,1,20160309,112900,72523.0000000,72586.0000000,72521.0000000,72565.0000000,7244
SPFB.Si,1,20160309,113000,72564.0000000,72637.0000000,72542.0000000,72630.0000000,16870
SPFB.Si,1,20160309,113100,72628.0000000,72682.0000000,72611.0000000,72667.0000000,19996
SPFB.Si,1,20160309,113200,72668.0000000,72689.0000000,72648.0000000,72653.0000000,12242
SPFB.Si,1,20160309,113300,72652.0000000,72726.0000000,72642.0000000,72710.0000000,20102
SPFB.Si,1,20160309,113400,72709.0000000,72726.0000000,72676.0000000,72694.0000000,10053
SPFB.Si,1,20160309,113500,72695.0000000,72750.0000000,72688.0000000,72712.0000000,7966
SPFB.Si,1,20160309,113600,72713.0000000,72730.0000000,72686.0000000,72690.0000000,6992
SPFB.Si,1,20160309,113700,72690.0000000,72705.0000000,72668.0000000,72690.0000000,5941
SPFB.Si,1,20160309,113800,72691.0000000,72737.0000000,72687.0000000,72699.0000000,10448
SPFB.Si,1,20160309,113900,72693.0000000,72750.0000000,72693.0000000,72745.0000000,7077
SPFB.Si,1,20160309,114000,72745.0000000,72786.0000000,72738.0000000,72745.0000000,14634
SPFB.Si,1,20160309,114100,72746.0000000,72789.0000000,72718.0000000,72762.0000000,11626
SPFB.Si,1,20160309,114200,72762.0000000,72799.0000000,72749.0000000,72762.0000000,9870
SPFB.Si,1,20160309,114300,72764.0000000,72784.0000000,72741.0000000,72766.0000000,7478
SPFB.Si,1,20160309,114400,72767.0000000,72790.0000000,72758.0000000,72788.0000000,6608
SPFB.Si,1,20160309,114500,72786.0000000,72799.0000000,72754.0000000,72771.0000000,7073
SPFB.Si,1,20160309,114600,72771.0000000,72784.0000000,72730.0000000,72747.0000000,8773
SPFB.Si,1,20160309,114700,72746.0000000,72748.0000000,72709.0000000,72717.0000000,4509
SPFB.Si,1,20160309,114800,72720.0000000,72727.0000000,72682.0000000,72700.0000000,7163
SPFB.Si,1,20160309,114900,72699.0000000,72700.0000000,72668.0000000,72669.0000000,3326
SPFB.Si,1,20160309,115000,72672.0000000,72693.0000000,72663.0000000,72668.0000000,2950
SPFB.Si,1,20160309,115100,72667.0000000,72701.0000000,72662.0000000,72691.0000000,4198
SPFB.Si,1,20160309,115200,72695.0000000,72716.0000000,72686.0000000,72703.0000000,3312
SPFB.Si,1,20160309,115300,72703.0000000,72733.0000000,72702.0000000,72732.0000000,2368
SPFB.Si,1,20160309,115400,72730.0000000,72735.0000000,72687.0000000,72692.0000000,2377
SPFB.Si,1,20160309,115500,72690.0000000,72701.0000000,72676.0000000,72701.0000000,1839
SPFB.Si,1,20160309,115600,72701.0000000,72728.0000000,72698.0000000,72716.0000000,2423
SPFB.Si,1,20160309,115700,72718.0000000,72722.0000000,72698.0000000,72712.0000000,2956
SPFB.Si,1,20160309,115800,72712.0000000,72739.0000000,72698.0000000,72717.0000000,4609
SPFB.Si,1,20160309,115900,72719.0000000,72730.0000000,72708.0000000,72718.0000000,1776
SPFB.Si,1,20160309,120000,72721.0000000,72758.0000000,72713.0000000,72751.0000000,3934
SPFB.Si,1,20160309,120100,72752.0000000,72765.0000000,72689.0000000,72709.0000000,17333
SPFB.Si,1,20160309,120200,72707.0000000,72726.0000000,72640.0000000,72658.0000000,11590
SPFB.Si,1,20160309,120300,72662.0000000,72675.0000000,72642.0000000,72656.0000000,5061
SPFB.Si,1,20160309,120400,72652.0000000,72661.0000000,72630.0000000,72631.0000000,4116
SPFB.Si,1,20160309,120500,72634.0000000,72654.0000000,72611.0000000,72625.0000000,5987
SPFB.Si,1,20160309,120600,72626.0000000,72627.0000000,72595.0000000,72604.0000000,7700
SPFB.Si,1,20160309,120700,72601.0000000,72609.0000000,72506.0000000,72519.0000000,15764
SPFB.Si,1,20160309,120800,72522.0000000,72539.0000000,72476.0000000,72487.0000000,14250
SPFB.Si,1,20160309,120900,72487.0000000,72513.0000000,72472.0000000,72506.0000000,12143
SPFB.Si,1,20160309,121000,72508.0000000,72518.0000000,72478.0000000,72480.0000000,4670
SPFB.Si,1,20160309,121100,72483.0000000,72500.0000000,72467.0000000,72481.0000000,5931
SPFB.Si,1,20160309,121200,72480.0000000,72528.0000000,72469.0000000,72512.0000000,11732
SPFB.Si,1,20160309,121300,72512.0000000,72553.0000000,72502.0000000,72553.0000000,5295
SPFB.Si,1,20160309,121400,72550.0000000,72568.0000000,72540.0000000,72553.0000000,4060
SPFB.Si,1,20160309,121500,72551.0000000,72560.0000000,72510.0000000,72512.0000000,6783
SPFB.Si,1,20160309,121600,72515.0000000,72531.0000000,72492.0000000,72509.0000000,6987
SPFB.Si,1,20160309,121700,72509.0000000,72528.0000000,72476.0000000,72485.0000000,4339
SPFB.Si,1,20160309,121800,72484.0000000,72525.0000000,72470.0000000,72511.0000000,5531
SPFB.Si,1,20160309,121900,72510.0000000,72514.0000000,72479.0000000,72507.0000000,3603
SPFB.Si,1,20160309,122000,72503.0000000,72520.0000000,72490.0000000,72507.0000000,4861
SPFB.Si,1,20160309,122100,72507.0000000,72507.0000000,72450.0000000,72468.0000000,6539
SPFB.Si,1,20160309,122200,72464.0000000,72468.0000000,72420.0000000,72451.0000000,7750
SPFB.Si,1,20160309,122300,72449.0000000,72459.0000000,72442.0000000,72453.0000000,2181
SPFB.Si,1,20160309,122400,72452.0000000,72456.0000000,72401.0000000,72443.0000000,6659
SPFB.Si,1,20160309,122500,72438.0000000,72466.0000000,72418.0000000,72462.0000000,5318
SPFB.Si,1,20160309,122600,72458.0000000,72479.0000000,72457.0000000,72459.0000000,1703
SPFB.Si,1,20160309,122700,72459.0000000,72469.0000000,72429.0000000,72434.0000000,3989
SPFB.Si,1,20160309,122800,72430.0000000,72433.0000000,72352.0000000,72379.0000000,12205
SPFB.Si,1,20160309,122900,72377.0000000,72378.0000000,72336.0000000,72362.0000000,8453
SPFB.Si,1,20160309,123000,72362.0000000,72379.0000000,72339.0000000,72349.0000000,8620
